episode_id,domain,hop,target_entity,gold_answer,before_answer,off_answer,on_answer,before_ok,off_after_ok,on_after_ok,off_trivial_pass,on_trivial_pass,oracle_calls,n_filler,edge_mode,edge_n_gold,edge_n_pred,edge_n_tp,edge_precision,edge_recall,raw_dialogue,n_superseded,error
pl_001,personal_life,1,medication,multivitamin,Quelmithin,Quelmithin,multivitamin,True,False,True,False,True,5,19,discovered_hard,4,25,4,0.16,1.0,True,1,
pl_002,personal_life,1,commute_duration,10 min,1.5 hours,1.5 hours,10 min,True,False,True,False,True,2,20,discovered_hard,2,18,2,0.1111111111111111,1.0,True,2,
pl_003,personal_life,1,fitness_facility,Kaelstrom Fitness,Zorathel Peak Gym,Kaelstrom Fitness,Kaelstrom Fitness,True,True,True,True,True,4,20,discovered_hard,2,24,2,0.08333333333333333,1.0,True,3,
pl_004,personal_life,1,travel_plan,island getaway,none,No travel,UK to Nice trip in April,True,False,False,False,False,2,17,discovered_hard,2,5,1,0.2,0.5,True,2,
pl_005,personal_life,1,financial_goal,saving for kids' education fund,paying off credit card debt,paying off credit card debt,none,True,False,False,False,False,2,21,discovered_hard,2,11,0,0.0,0.0,True,2,
pl_006,personal_life,1,regular_appointment,physical therapy (2x/week),dermatologist (monthly),dermatologist (monthly),physical therapy (2x/week),True,False,True,False,True,7,20,discovered_hard,4,14,4,0.2857142857142857,1.0,True,6,
pl_007,personal_life,1,regular_appointment,therapy (weekly),"therapy, dermatologist","therapy (weekly), dermatologist (monthly)",therapy (weekly),False,False,True,False,False,4,21,discovered_hard,2,13,2,0.15384615384615385,1.0,True,2,
pl_008,personal_life,1,work_project,marketing campaign,interactive touchscreen dinosaur encyclopaedia,backend migration,interactive touchscreen dinosaur encyclopaedia,False,False,False,False,False,6,18,discovered_hard,5,15,5,0.4,1.0,True,1,
pl_009,personal_life,1,dietary_restriction,no alcohol,low-sodium,low-sodium,no alcohol,True,False,True,False,True,4,19,discovered_hard,3,17,3,0.17647058823529413,1.0,True,2,
pl_010,personal_life,1,travel_plan,Zynthera Bay beach trip (1 week),mountain ski trip,mountain ski trip,Zynthera Bay beach trip,True,False,False,False,False,2,18,discovered_hard,2,13,1,0.07692307692307693,0.5,True,2,
pl_011,personal_life,1,regular_appointment,therapy (weekly),dermatologist (monthly),dermatologist,trivia night Wednesdays,True,False,False,False,False,3,15,discovered_hard,4,13,3,0.23076923076923078,0.75,True,1,
pl_012,personal_life,1,living_arrangement,with partner,alone,alone,partner,True,False,True,False,True,3,18,discovered_hard,2,11,2,0.18181818181818182,1.0,True,2,
pl_013,personal_life,1,work_schedule,4-day work week,shift work (night),shift work (night),4-day work week,True,False,True,False,True,9,17,discovered_hard,5,16,5,0.375,1.0,True,4,
pl_014,personal_life,1,regular_appointment,dermatologist (monthly),"dermatologist, dentist","dermatologist, dentist",dermatologist (monthly),False,False,True,False,False,4,17,discovered_hard,4,12,4,0.3333333333333333,1.0,True,1,
pl_015,personal_life,1,living_arrangement,with sibling,parents,a sibling,spouse,True,True,False,True,False,4,16,discovered_hard,2,15,2,0.13333333333333333,1.0,True,2,
pl_016,personal_life,1,travel_plan,Zynthera Bay beach trip (1 week),cross-country road trip for 2 weeks,cross-country road trip for 2 weeks,Pacific Coast Highway road trip,True,False,False,False,False,4,17,discovered_hard,2,18,1,0.05555555555555555,0.5,True,2,
pl_017,personal_life,1,regular_appointment,chiropractor (biweekly),"chiropractor, physical therapy","physical therapy (2x/week), chiropractor (biweekly)",chiropractor (biweekly),False,False,True,False,False,6,22,discovered_hard,2,15,2,0.2,1.0,True,1,
pl_018,personal_life,1,commute_method,commuter rail,walking,walking,commuter rail,True,False,True,False,True,4,18,discovered_hard,2,11,2,0.18181818181818182,1.0,True,2,
pl_019,personal_life,1,financial_goal,saving for wedding,maxing out retirement fund,maxing out retirement fund,saving for wedding,True,False,True,False,True,2,20,discovered_hard,2,5,2,0.4,1.0,True,2,
pl_020,personal_life,1,commute_duration,30 min,20 min,20 min,30 min,True,False,True,False,True,2,17,discovered_hard,2,14,2,0.14285714285714285,1.0,True,1,
pl_021,personal_life,1,work_schedule,hybrid (3 office + 2 remote),hybrid (3 office + 2 remote),hybrid,hybrid (3 office + 2 remote),False,False,True,False,False,10,17,discovered_hard,5,17,5,0.35294117647058826,1.0,True,5,
pl_022,personal_life,1,financial_goal,saving for wedding,saving for kids' education fund,saving for kids' education fund,saving for kids' education fund,True,False,False,False,False,0,19,discovered_hard,2,13,2,0.15384615384615385,1.0,True,1,
pl_023,personal_life,1,sleep_pattern,irregular,midnight-8am,midnight-8am,irregular,True,False,True,False,True,4,19,discovered_hard,4,10,3,0.3,0.75,True,1,
pl_024,personal_life,1,housing_type,townhouse,condo,townhouse,townhouse,True,True,True,True,True,2,21,discovered_hard,2,18,2,0.1111111111111111,1.0,True,2,
pl_025,personal_life,1,job_title,staff engineer,marketing lead,marketing lead,staff engineer,True,False,True,False,True,11,16,discovered_hard,5,20,5,0.25,1.0,True,7,
pl_026,personal_life,1,commute_method,subway,bike,bike,subway,True,False,True,False,True,2,18,discovered_hard,2,26,2,0.07692307692307693,1.0,True,4,
pl_027,personal_life,1,commute_duration,15 min,10 min,10 min,15 min,True,False,True,False,True,7,14,discovered_hard,2,21,2,0.14285714285714285,1.0,True,6,
pl_028,personal_life,1,job_title,designer,staff engineer,staff engineer,designer,True,False,True,False,True,7,17,discovered_hard,5,16,5,0.3125,1.0,True,4,
pl_029,personal_life,1,work_schedule,hybrid (3 office + 2 remote),10-to-7 fixed,10-to-7 fixed,hybrid (3 office + 2 remote),True,False,True,False,True,3,19,discovered_hard,2,14,2,0.14285714285714285,1.0,True,5,
pl_030,personal_life,1,work_schedule,9-to-5 fixed,shift work (day),shift work (day),9-to-5 fixed,True,False,True,False,True,11,19,discovered_hard,5,22,4,0.18181818181818182,0.8,True,5,
pl_031,personal_life,1,regular_appointment,dentist (every 6 months),"tutoring session weekly, dentist every 6 months","Tutoring session weekly, dentist every 6 months",dentist every 6 months,False,True,True,True,False,4,15,discovered_hard,4,10,1,0.1,0.25,True,2,
pl_032,personal_life,1,family_event,parent's birthday,baby shower,baby shower,baby shower,True,False,False,False,False,5,20,discovered_hard,2,18,1,0.05555555555555555,0.5,True,2,
pl_033,personal_life,1,insurance,employer-provided health plan,dental + vision bundle,dental + vision bundle,employer-provided health plan,True,False,True,False,True,13,17,discovered_hard,5,20,5,0.4,1.0,True,2,
pl_034,personal_life,1,exercise_routine,weight training 4x/week,running 3x/week,running 3x/week,pickup basketball on Saturdays,True,False,False,False,False,4,16,discovered_hard,3,10,3,0.3,1.0,True,2,
pl_035,personal_life,1,housing_type,two-bedroom apartment,dormitory,dormitory,Two-bedroom apartment,True,False,True,False,True,3,19,discovered_hard,2,13,2,0.15384615384615385,1.0,True,2,
pl_036,personal_life,1,commute_duration,10 min,30 min,30 min,around 10 min,True,False,True,False,True,3,21,discovered_hard,2,7,2,0.2857142857142857,1.0,True,2,
pl_037,personal_life,1,family_event,none currently,child's school event,child's school event,sister's 30th birthday party,True,False,False,False,False,4,18,discovered_hard,2,11,2,0.18181818181818182,1.0,True,2,
pl_038,personal_life,1,travel_plan,island getaway,cross-country road trip,cross-country road trip,trip with friends from high school,False,False,False,False,False,3,20,discovered_hard,2,11,1,0.09090909090909091,0.5,True,1,
pl_039,personal_life,1,skill_acquisition,Japanese,Spanish,Spanish,Spanish,True,False,False,False,False,0,16,discovered_hard,2,14,1,0.07142857142857142,0.5,True,0,
pl_040,personal_life,1,dietary_restriction,nut-free,dairy-free,dairy-free,nut-free,True,False,True,False,True,6,17,discovered_hard,4,17,3,0.23529411764705882,0.75,True,3,
pl_041,personal_life,1,medication,Dyntheral,Korathril,Korathril,None,True,False,False,False,False,3,15,discovered_hard,3,17,3,0.17647058823529413,1.0,True,2,
